track_name,artist(s)_name,artist_count,in_spotify_playlists,in_spotify_charts,streams,in_apple_playlists,in_apple_charts,in_deezer_playlists,in_deezer_charts,in_shazam_charts,key,release_date
"Enemy (with JID)  from the series Arcane League of Legends","IMAGINE DRAGONS, LEAGUE OF LEGENDS, JID, ARCANE",4,6180,7,1223481149,122,88,580,21,10,B,2021-09-03
Ensame,"BAD BUNNY",1,1112,3,279737940,7,25,12,0,0,G#,2022-05-06
"Entre Nosotros (Remix) con Nicki Nicole","LIT KILLAH, MARIA BECERRA, TIAGO PZK, NICKI NICOLE",4,759,3,236940480,32,0,12,0,0,F,2022-01-05
Envolver,ANITTA,1,4673,2,546191065,123,113,180,1,4,E,2021-11-11
"Erro Gostoso  Ao Vivo","SIMONE MENDES",1,984,5,153454328,8,57,76,2,49,F#,2023-01-27
"Es un Secreto","PLAN B",1,492,36,540654286,4,3,19,0,0,F#,2010-07-20
Escapism,"RAYE, 070 SHAKE",2,5129,25,532336353,116,84,114,18,348,D,2022-10-12
"Escapism  Sped Up","RAYE, 070 SHAKE",2,1368,0,184308753,12,1,11,0,8,F#,2022-11-25
"EsqueaMe Se For C","MARLIA MENDONA, MAIARA",2,580,0,258316038,24,92,93,0,0,F#,2021-10-14
"Eu Gosto Assim  Ao Vivo","GUSTAVO MIOTO, MARI FERNANDEZ",2,1473,4,222612678,27,64,66,1,4,NULL,2022-09-16
"Evergreen (You Didnt Deserve Me A","OMAR APOLLO",1,2499,0,227918678,70,0,49,0,0,A,2022-04-08
"Every Angel is Terrifying","THE WEEKND",1,715,0,37307967,0,1,2,0,0,NULL,2022-01-07
"Every Breath You Take  Remastered 2003","THE POLICE",1,22439,19,1593270737,211,74,929,0,129,C#,1983-01-06
"Every Summertime",NIKI,1,1211,2,290228626,30,2,5,0,6,F#,2021-08-10
"Everything I Love","MORGAN WALLEN",1,579,0,95623148,11,54,0,0,103,G#,2023-01-31
"Evoque Prata","DJ ESCOBAR, MC MENOR SG, MC MENOR HR",3,852,0,174006928,14,1,50,0,0,G,2022-09-09
Excuses,"INTENSE, AP DHILLON, GURINDER GILL",3,272,4,327498031,7,21,2,0,0,F,2020-07-24
"Eyes Closed","ED SHEERAN",1,2915,30,195576623,116,69,107,3,675,D,2023-03-23
F2F,SZA,1,989,0,67540165,5,9,1,0,0,D,2022-12-09
"Fair Trade (with Travis Scott)","DRAKE, TRAVIS SCOTT",2,5403,6,593917618,118,116,96,0,3,C#,2021-09-03
Falling,"HARRY STYLES",1,7556,0,1023187129,124,24,254,0,8,E,2019-12-13
